Month,Quantity,Average_Export_Price(HKD/t),lnQuantity,lnPrice
Jan-12,79102.538,1711.51272,11.27850024,7.44513289
Feb-12,101263.748,1749.609347,11.52548376,7.467147812
Mar-12,107877.986,1765.772676,11.58875611,7.47634365
Apr-12,99407.326,1750.454489,11.50698109,7.467630741
May-12,91554.166,1737.190201,11.42468605,7.46002426
Jun-12,95023.711,1623.710528,11.46188173,7.392469259
Jul-12,88803.063,1628.569951,11.39417642,7.395457578
Aug-12,111586.604,1556.038035,11.62255629,7.349898148
Sep-12,97779.711,1492.088681,11.49047238,7.307932217
Oct-12,87125.661,1526.519265,11.37510673,7.330745433
Nov-12,97635.966,1558.923481,11.48900121,7.351750786
Dec-12,94039.417,1566.630299,11.4514693,7.356682286
Jan-13,84041.143,1562.175326,11.33906176,7.353834569
Feb-13,68821.193,1559.446957,11.13926701,7.352086523
Mar-13,82023.172,1617.823315,11.31475707,7.388836892
Apr-13,94023.642,1545.73889,11.45130154,7.343257321
May-13,81189.29,1530.103293,11.30453862,7.333090524
Jun-13,88538.242,1555.565108,11.39118985,7.349594172
Jul-13,92386.246,1537.155217,11.43373339,7.337688725
Aug-13,83333.638,1540.950366,11.33060756,7.340154626
Sep-13,85386.685,1432.272491,11.35494545,7.267017616
Oct-13,84829.244,1444.973387,11.34839562,7.275846183
Nov-13,80228.217,1458.663851,11.29263056,7.285276125
Dec-13,86008.535,1484.817757,11.36220181,7.303047321
Jan-14,71237.597,1425.188444,11.17377601,7.262059325
Feb-14,69334.065,1426.052259,11.14669162,7.262665247
Mar-14,73726.457,1451.758356,11.208117,7.28053076
Apr-14,76859.586,1437.946855,11.24973548,7.27097158
May-14,75060.214,1416.396175,11.22604592,7.25587102
Jun-14,75323.689,1415.716641,11.22954996,7.255391142
Jul-14,86850.851,1396.555113,11.37194757,7.241763849
Aug-14,78375.617,1466.476494,11.26926815,7.290617859
Sep-14,80522.24,1410.703428,11.2962887,7.251843744
Oct-14,76239.355,1376.428224,11.24163308,7.227247179
Nov-14,81741.674,1381.987846,11.31131924,7.23127821
Dec-14,76453.707,1399.618203,11.2444407,7.243954766
Jan-15,84504.819,1419.670516,11.34456384,7.258180093
Feb-15,59564.163,1418.436787,10.99480938,7.25731069
Mar-15,75262.001,1416.744155,11.22873065,7.256116669
Apr-15,67942.99,1376.492262,11.12642425,7.227293703
May-15,71725.472,1330.684865,11.18060122,7.193449025
Jun-15,73276.648,1391.398253,11.20199726,7.238064458
Jul-15,74657.556,1396.402529,11.22066702,7.241654586
Aug-15,71251.34,1378.570564,11.1739689,7.228802418
Sep-15,66896.819,1370.468751,11.1109067,7.222908115
Oct-15,70284.81,1364.37731,11.16031098,7.21845342
Nov-15,67691.396,1340.539646,11.12271436,7.200827532
Dec-15,73907.153,1338.233121,11.2105649,7.199105456
Jan-16,65639.91,1364.20053,11.09193917,7.218323844
Feb-16,52715.164,1382.088084,10.87265844,7.231350739
Mar-16,65032.474,1366.194372,11.08264202,7.219784323
Apr-16,65225.264,1371.585096,11.08560216,7.223722355
May-16,67387.307,1388.392031,11.11821196,7.235901544
Jun-16,66090.604,1390.409445,11.09878187,7.237353547
Jul-16,62314.581,1393.028704,11.03995072,7.239235579
Aug-16,76473.945,1436.946924,11.24470537,7.27027595
Sep-16,59236.064,1417.075922,10.98928582,7.256350818
Oct-16,57917.992,1455.385401,10.96678336,7.283026025
Nov-16,63139.322,1488.660268,11.05309902,7.305631845
Dec-16,64779.992,1525.733439,11.07875207,7.330230517
Jan-17,63947.954,1606.947425,11.06582481,7.382091649
Feb-17,64155.712,1614.789966,11.06906841,7.386960175
Mar-17,57621.294,1657.130435,10.96164747,7.412842732
Apr-17,56778.983,1578.577059,10.94692152,7.364279125
May-17,60421.931,1640.66256,11.00910741,7.402855439
Jun-17,66399.879,1678.075347,11.10345051,7.425402789
Jul-17,62079.119,1750.105378,11.03616496,7.467431281
Aug-17,53696.654,1897.026954,10.89110597,7.548043179
Sep-17,67616.367,1829.971137,11.12160535,7.512055474
Oct-17,56133.166,1608.514296,10.93548211,7.383066235
Nov-17,58984.44,1676.594709,10.98502896,7.424520056
Dec-17,53265.589,1689.270722,10.88304579,7.432052189
Jan-18,66122.626,1605.713602,11.09926627,7.381323549
Feb-18,40220.964,1599.6633,10.60214363,7.377548449
Mar-18,62497.296,1452.350835,11.04287857,7.280938788
Apr-18,56133.097,1452.921794,10.93548088,7.281331838
May-18,59433.375,1604.956811,10.99261122,7.380852126
Jun-18,44194.462,1883.018737,10.69635477,7.540631479
Jul-18,69831.618,1849.46309,11.15384217,7.522650654
Aug-18,36551.665,1924.371981,10.50648202,7.56235495
Sep-18,47861.443,2002.885705,10.77606551,7.602344272
Oct-18,79855.695,2159.633073,11.28797647,7.677693613
Nov-18,45053.312,2321.183402,10.71560178,7.749832421
Dec-18,59280.262,2467.296788,10.99003168,7.810878412
Jan-19,29732.97,1781.154052,10.30001181,7.485016777
Feb-19,58173.464,1525.592494,10.97118458,7.330138134
Mar-19,41066.175,1363.579637,10.62294007,7.217868607
Apr-19,42254.474,1346.247974,10.65146552,7.205076723
May-19,36876.754,1390.469454,10.51533666,7.237396706
Jun-19,30495.962,1459.832617,10.32534956,7.286077062
Jul-19,43043.423,1285.701651,10.66996472,7.15905988
Aug-19,42292.982,1187.241893,10.65237644,7.079388159
Sep-19,33969.004,1201.477677,10.43320374,7.091307475
Oct-19,48009.557,1171.204308,10.77915537,7.065787822
Nov-19,45535.889,1077.348023,10.72625606,6.982257766
Dec-19,52792.515,1078.221032,10.8741247,6.983067769
Jan-20,32809.176,1148.276324,10.39846351,7.046017248
Feb-20,29354.135,1156.600254,10.2871887,7.053240165
Mar-20,29402.929,1039.794369,10.28884957,6.94677825
Apr-20,50427.673,1194.12609,10.82829537,7.085169892
May-20,34665.468,1365.393365,10.45349931,7.219197846
Jun-20,33290.022,1546.709702,10.41301299,7.343885181
Jul-20,29107.989,1553.972004,10.27876795,7.348569515
Aug-20,51476.461,1519.684891,10.84887991,7.326258283
Sep-20,31999.68,1569.640696,10.37348118,7.358602016
Oct-20,28876.831,1590.617752,10.27079486,7.371877743
Nov-20,28578.991,1636.761774,10.26042715,7.400475041
Dec-20,46908.353,1690.658378,10.75595104,7.432873305
Jan-21,38277.972,1851.692964,,
Feb-21,30416.43,1857.15544,,
Mar-21,55783.99,1862.913237,,
Apr-21,50879.63,1938.656534,,
May-21,37428.268,1971.966936,,
Jun-21,16790.175,1984.944308,,
Jul-21,645.55,1978.714721,,
